Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered,Population,Confirmed_per_100K,Deaths_per_100K,Recovered_per_100K,Confirmed_rolling_avg3,Confirmed_trend,Deaths_rolling_avg3,Deaths_trend,Recovered_rolling_avg3,Recovered_trend
125,COVID-19,2020-01-01,Nigeria,0,0,0,0,0,0,206984347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,COVID-19,2020-01-01,North Macedonia,0,0,0,0,0,0,2083359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,COVID-19,2020-01-01,Norway,0,0,0,0,0,0,5428594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,COVID-19,2020-01-01,Oman,0,0,0,0,0,0,5128058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,COVID-19,2020-01-01,Pakistan,0,0,0,0,0,0,221612785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,COVID-19,2020-01-01,Panama,0,0,0,0,0,0,4326296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,COVID-19,2020-01-01,Papua New Guinea,0,0,0,0,0,0,8975531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,COVID-19,2020-01-01,Paraguay,0,0,0,0,0,0,7147553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,COVID-19,2020-01-01,Peru,0,0,0,0,0,0,33050211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,COVID-19,2020-01-01,Philippines,1,0,0,1,0,0,109830324,0.0009104953564554722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135,COVID-19,2020-01-01,Poland,0,0,0,0,0,0,37839255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,COVID-19,2020-01-01,Portugal,0,0,0,0,0,0,10191409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,COVID-19,2020-01-01,Qatar,0,0,0,0,0,0,2889284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
